From	Usage	To	Weight	 	 
ant	uses	sdklib	97		
ddms	uses	ddmlib	142		
ddms	uses	ddmuilib	173		
ddms	uses	sdkstats	4		
ddmuilib	uses	ddmlib	1021		
hierarchyviewer	uses	ddmuilib	19		
hierarchyviewer	uses	hierarchyviewerlib	169		
hierarchyviewer	uses	ddmlib	2		
hierarchyviewer	uses	sdklib	1		
hierarchyviewerlib	uses	ddmlib	228		
hierarchyviewerlib	uses	ddmuilib	57		
monkeyrunner	uses	ddmlib	105		
monkeyrunner	uses	sdklib	1		
sdklib	uses	resources	19		
sdklib	uses	prefs	24		
sdklib	uses	util	8		
sdkmanager	uses	sdkuilib	19		
sdkmanager	uses	sdklib	181		
sdkmanager	uses	prefs	8		
sdkstats	uses	prefs	2		
sdkuilib	uses	sdklib	740		
sdkuilib	uses	prefs	12		
traceview	uses	sdkstats	1		
