From	Usage	To	Weight	 	 
.JCommon	contains	.ui.about.ProjectInfo	3		
.JCommon	uses	.JCommonInfo	2		
.JCommonInfo	extends	.ui.about.ProjectInfo	4		
.JCommonInfo	uses	.ui.about.Licences	3		
.JCommonInfo	uses	.ui.about.Contributor	2		
.JCommonInfo	uses	.base.Library	2		
.JCommonInfo	uses	.util.ResourceBundleWrapper	1		
.JCommonInfo	uses	.base.BasicProjectInfo	6		
.JCommonInfo	uses	.base.BootableProjectInfo	1		
.base.AbstractBoot	implements	.base.modules.SubSystem	1		
.base.AbstractBoot	contains	.util.ExtendedConfigurationWrapper	4		
.base.AbstractBoot	contains	.base.modules.PackageManager	7		
.base.AbstractBoot	contains	.util.Configuration	7		
.base.AbstractBoot	uses	.util.ExtendedConfiguration	1		
.base.AbstractBoot	uses	.base.BootableProjectInfo	4		
.base.AbstractBoot	uses	.util.Log	3		
.base.AbstractBoot	uses	.base.Library	2		
.base.AbstractBoot	uses	.util.ObjectUtilities	2		
.base.AbstractBoot	uses	.base.config.PropertyFileConfiguration	4		
.base.AbstractBoot	uses	.base.config.SystemPropertyConfiguration	2		
.base.AbstractBoot	uses	.base.config.HierarchicalConfiguration	3		
.base.BaseBoot	extends	.base.AbstractBoot	7		
.base.BaseBoot	contains	.base.BootableProjectInfo	3		
.base.BaseBoot	uses	.util.ObjectUtilities	1		
.base.BaseBoot	uses	.base.config.ModifiableConfiguration	2		
.base.BaseBoot	uses	.base.modules.PackageManager	4		
.base.BaseBoot	uses	.util.Configuration	3		
.base.BaseBoot	uses	.JCommon	1		
.base.BasicProjectInfo	extends	.base.Library	15		
.base.BasicProjectInfo	uses	.util.ObjectUtilities	1		
.base.BootableProjectInfo	extends	.base.BasicProjectInfo	14		
.base.BootableProjectInfo	uses	.base.Library	2		
.base.ClassPathDebugger	uses	.util.ObjectUtilities	3		
.base.config.HierarchicalConfiguration	implements	.base.config.ModifiableConfiguration	2		
.base.config.HierarchicalConfiguration	implements	.util.PublicCloneable	1		
.base.config.HierarchicalConfiguration	contains	.util.Configuration	10		
.base.config.ModifiableConfiguration	extends	.util.Configuration	1		
.base.config.PropertyFileConfiguration	extends	.base.config.HierarchicalConfiguration	3		
.base.config.PropertyFileConfiguration	uses	.util.Log	2		
.base.config.PropertyFileConfiguration	uses	.util.ObjectUtilities	1		
.base.config.SystemPropertyConfiguration	extends	.base.config.HierarchicalConfiguration	3		
.base.log.DefaultLog	extends	.util.Log	9		
.base.log.DefaultLog	contains	.util.PrintStreamLogTarget	4		
.base.log.DefaultLog	uses	.util.LogTarget	3		
.base.log.DefaultLog	uses	.base.log.LogConfiguration	1		
.base.log.DefaultLogModule	extends	.base.modules.AbstractModule	3		
.base.log.DefaultLogModule	uses	.base.modules.SubSystem	2		
.base.log.DefaultLogModule	uses	.base.modules.ModuleInitializeException	2		
.base.log.DefaultLogModule	uses	.util.Log	5		
.base.log.DefaultLogModule	uses	.base.log.DefaultLog	1		
.base.log.DefaultLogModule	uses	.base.log.LogConfiguration	2		
.base.log.DefaultLogModule	uses	.util.Configuration	2		
.base.log.DefaultLogModule	uses	.util.PrintStreamLogTarget	2		
.base.log.DefaultLogModule	uses	.util.LogTarget	1		
.base.log.LogConfiguration	uses	.base.AbstractBoot	6		
.base.log.LogConfiguration	uses	.util.Configuration	6		
.base.log.LogConfiguration	uses	.base.BaseBoot	6		
.base.log.LogConfiguration	uses	.base.config.ModifiableConfiguration	6		
.base.modules.AbstractModule	extends	.base.modules.DefaultModuleInfo	17		
.base.modules.AbstractModule	implements	.base.modules.Module	1		
.base.modules.AbstractModule	contains	.base.modules.ModuleInfo	8		
.base.modules.AbstractModule	uses	.base.modules.ModuleInitializeException	10		
.base.modules.AbstractModule	uses	.util.ObjectUtilities	6		
.base.modules.AbstractModule	uses	.base.modules.ModuleInitializer	4		
.base.modules.AbstractModule	uses	.base.modules.SubSystem	2		
.base.modules.AbstractModule	uses	.base.modules.PackageManager	3		
.base.modules.AbstractModule	uses	.base.config.PropertyFileConfiguration	1		
.base.modules.DefaultModuleInfo	implements	.base.modules.ModuleInfo	3		
.base.modules.Module	extends	.base.modules.ModuleInfo	3		
.base.modules.Module	uses	.base.modules.SubSystem	2		
.base.modules.Module	uses	.base.modules.ModuleInitializeException	1		
.base.modules.ModuleInitializeException	extends	.util.StackableException	4		
.base.modules.ModuleInitializer	uses	.base.modules.ModuleInitializeException	1		
.base.modules.PackageManager	contains	.base.AbstractBoot	5	(mfs)	
.base.modules.PackageManager	uses	.base.modules.ModuleInfo	17		
.base.modules.PackageManager	uses	.base.modules.Module	17		
.base.modules.PackageManager	uses	.base.modules.PackageState	20		
.base.modules.PackageManager	uses	.util.Log	13		
.base.modules.PackageManager	uses	.base.log.PadMessage	4		
.base.modules.PackageManager	uses	.base.modules.PackageSorter	1		
.base.modules.PackageManager	uses	.base.modules.SubSystem	1		
.base.modules.PackageManager	uses	.base.modules.DefaultModuleInfo	2		
.base.modules.PackageManager	uses	.base.config.PropertyFileConfiguration	2		
.base.modules.PackageManager	uses	.base.config.HierarchicalConfiguration	2		
.base.modules.PackageManager	uses	.util.ObjectUtilities	1		
.base.modules.PackageManager	uses	.util.Configuration	3		
.base.modules.PackageSorter	uses	.base.modules.ModuleInfo	8		
.base.modules.PackageSorter	uses	.base.modules.Module	14		
.base.modules.PackageSorter	uses	.util.Log	4		
.base.modules.PackageSorter	uses	.base.modules.PackageState	12		
.base.modules.PackageState	contains	.base.modules.Module	9		
.base.modules.PackageState	uses	.base.modules.SubSystem	2		
.base.modules.PackageState	uses	.util.Log	12		
.base.modules.PackageState	uses	.base.modules.ModuleInitializeException	1		
.base.modules.PackageState	uses	.base.modules.ModuleInfo	1		
.base.modules.SubSystem	uses	.util.ExtendedConfiguration	1		
.base.modules.SubSystem	uses	.base.modules.PackageManager	1	(mfs)	
.base.modules.SubSystem	uses	.util.Configuration	1		
.chart.ChartFactory	contains	.chart.ChartTheme	42		
.chart.ChartFactory	uses	.chart.JFreeChart	122		
.chart.ChartFactory	uses	.data.general.PieDataset	9		
.chart.ChartFactory	uses	.chart.plot.PiePlot	36		
.chart.ChartFactory	uses	.chart.labels.PieSectionLabelGenerator	6		
.chart.ChartFactory	uses	.ui.RectangleInsets	18		
.chart.ChartFactory	uses	.chart.plot.Plot	52		
.chart.ChartFactory	uses	.chart.labels.StandardPieSectionLabelGenerator	12		
.chart.ChartFactory	uses	.chart.labels.PieToolTipGenerator	10		
.chart.ChartFactory	uses	.chart.labels.StandardPieToolTipGenerator	20		
.chart.ChartFactory	uses	.chart.plot.RingPlot	4		
.chart.ChartFactory	uses	.chart.plot.PiePlot3D	6		
.chart.ChartFactory	uses	.data.xy.XYDataset	16		
.chart.ChartFactory	uses	.chart.plot.PlotOrientation	27		
.chart.ChartFactory	uses	.chart.labels.StandardXYToolTipGenerator	21		
.chart.ChartFactory	uses	.chart.axis.NumberAxis	58		
.chart.ChartFactory	uses	.chart.urls.XYURLGenerator	11		
.chart.ChartFactory	uses	.chart.plot.XYPlot	53		
.chart.ChartFactory	uses	.chart.renderer.xy.XYLineAndShapeRenderer	6		
.chart.ChartFactory	uses	.chart.renderer.xy.XYItemRenderer	23		
.chart.ChartFactory	uses	.chart.axis.ValueAxis	33		
.chart.ChartFactory	uses	.chart.urls.StandardXYURLGenerator	20		
.chart.ChartFactory	uses	.chart.labels.XYToolTipGenerator	13		
.chart.ChartFactory	uses	.chart.urls.StandardPieURLGenerator	12		
.chart.ChartFactory	uses	.data.general.DefaultPieDataset	6		
.chart.ChartFactory	uses	.chart.title.TextTitle	6		
.chart.ChartFactory	uses	.chart.title.Title	3		
.chart.ChartFactory	uses	.chart.urls.PieURLGenerator	6		
.chart.ChartFactory	uses	.data.KeyedValues	4		
.chart.ChartFactory	uses	.data.statistics.BoxAndWhiskerCategoryDataset	1		
.chart.ChartFactory	uses	.chart.axis.CategoryAxis	22		
.chart.ChartFactory	uses	.chart.plot.CategoryPlot	37		
.chart.ChartFactory	uses	.chart.labels.CategoryToolTipGenerator	11		
.chart.ChartFactory	uses	.chart.renderer.category.CategoryItemRenderer	15		
.chart.ChartFactory	uses	.chart.renderer.category.BoxAndWhiskerRenderer	2		
